cgpa,attendance,backlogs,skill_count,avg_skill_level,project_count,internship_count,certification_count,hackathon_count,placed
5.88,78.0,3,4,2.48,6,1,5,4,0
4.0,89.8,0,4,3.02,4,1,0,1,1
6.57,71.3,0,7,3.89,0,1,5,1,1
5.31,87.7,1,12,2.33,3,1,4,4,1
6.06,86.1,1,1,2.27,5,1,1,3,1
5.57,66.5,1,11,3.96,1,3,3,4,1
6.67,89.7,2,9,3.28,6,0,1,3,1
4.34,86.4,1,8,1.0,2,0,4,4,1
4.75,79.2,2,9,1.67,1,0,0,0,0
9.78,68.9,0,2,4.4,2,1,1,1,1
5.0,67.7,0,10,3.3,3,0,1,1,1
5.26,71.5,0,4,2.14,4,2,1,0,1
9.37,84.5,0,7,2.73,6,1,1,3,1
10.0,66.5,3,9,2.91,1,1,3,3,0
5.16,83.3,1,8,3.64,6,1,3,0,1
6.28,63.1,0,5,1.54,3,0,3,0,1
7.28,75.6,2,6,2.06,0,2,1,0,1
9.22,79.3,1,7,3.17,6,0,1,2,1
5.42,100.0,0,1,2.8,2,1,5,2,1
6.46,61.5,0,10,3.47,4,2,1,1,1
7.89,95.7,0,2,1.67,4,1,0,4,1
7.41,79.8,2,6,3.26,0,2,2,1,0
6.27,82.9,0,9,3.99,1,0,0,2,1
6.61,79.4,0,2,3.39,4,2,2,2,1
4.88,83.3,0,13,3.04,2,1,5,1,1
6.47,76.2,1,5,2.8,0,1,1,4,0
6.43,95.4,0,1,2.07,0,0,4,4,1
7.13,72.5,3,9,2.83,5,0,2,0,1
6.02,91.6,0,8,4.16,1,1,2,2,1
7.46,70.3,1,9,2.78,0,0,3,0,0
8.22,77.3,1,10,2.01,3,1,3,2,1
7.02,65.1,1,7,2.41,0,2,1,3,0
7.29,83.5,0,11,3.1,4,2,1,2,1
6.87,95.3,3,5,2.53,3,0,5,1,0
6.8,77.1,3,8,3.39,4,2,1,1,1
5.79,75.6,0,3,3.42,3,0,5,1,1
7.24,64.6,0,9,3.79,5,1,2,1,1
6.66,75.2,4,4,4.32,4,2,5,1,1
9.73,58.9,1,10,3.9,2,0,2,3,1
9.0,67.0,0,11,1.97,0,0,3,0,1
7.34,80.7,0,12,2.0,1,0,3,0,1
5.73,93.8,2,13,2.82,0,1,2,2,1
5.24,100.0,2,2,2.45,0,2,1,3,0
8.47,71.0,1,2,1.76,1,0,3,1,0
7.17,95.2,4,13,2.46,1,0,3,1,1
7.47,80.9,1,5,2.43,0,1,1,3,1
4.36,76.2,0,1,2.23,2,0,4,1,0
8.1,83.2,1,4,2.58,3,1,3,3,1
7.44,78.7,0,11,4.08,1,2,0,0,1
5.25,79.3,0,5,3.1,1,1,5,0,1
6.14,73.1,0,1,5.0,0,2,0,2,1
7.17,61.2,0,10,3.07,0,1,3,1,1
6.87,59.5,2,3,2.61,1,2,2,3,1
6.39,85.8,0,5,2.9,3,0,3,2,1
6.66,74.7,1,1,3.16,4,0,4,1,1
6.45,70.8,2,8,3.34,5,1,4,0,1
7.01,78.1,1,6,4.98,4,0,3,0,1
8.86,87.5,2,12,2.05,4,2,5,3,1
4.0,80.2,3,5,3.76,6,1,4,1,1
6.47,70.1,2,3,3.11,1,3,4,2,1
7.05,92.7,0,3,1.33,5,0,2,4,1
7.21,97.0,1,3,3.67,6,1,1,4,1
6.28,83.9,1,6,4.17,3,1,1,1,1
4.34,89.7,0,2,2.04,5,0,3,0,1
7.26,92.9,0,6,2.89,0,1,3,3,1
9.22,91.6,0,12,1.17,6,1,0,3,1
4.65,85.4,1,10,1.64,3,3,1,1,1
8.01,85.2,1,9,3.95,1,1,5,2,1
6.34,84.2,0,12,2.43,0,0,4,0,1
6.71,64.8,3,11,1.79,5,1,4,3,1
5.33,86.4,4,9,3.13,3,1,1,3,1
6.33,61.7,0,12,2.38,2,0,0,1,1
8.62,68.5,4,2,2.43,2,0,1,2,0
7.62,93.6,0,11,3.64,6,0,5,1,1
9.23,88.1,4,4,1.74,2,0,3,0,1
8.45,95.8,4,10,1.99,0,1,4,0,1
7.41,74.7,0,12,3.05,1,0,2,4,0
9.24,64.2,2,7,3.87,1,1,2,2,0
7.41,75.1,5,2,4.14,4,0,3,0,1
7.96,79.2,4,5,2.23,5,1,5,0,1
6.38,78.9,5,6,3.84,5,0,2,1,1
6.89,91.6,1,13,2.12,4,2,3,4,1
5.82,73.7,0,13,4.73,5,0,5,1,1
8.19,82.2,3,8,1.77,2,1,2,4,1
5.15,66.1,1,13,4.23,4,0,5,2,1
7.9,83.4,1,6,2.24,0,0,3,3,0
6.53,78.0,1,6,4.91,3,1,5,3,1
8.44,69.0,1,11,3.49,3,2,2,0,1
7.85,75.2,0,9,1.88,0,2,3,0,1
9.35,75.8,2,7,2.38,3,0,1,4,1
7.82,74.8,0,6,3.68,5,0,3,4,1
4.6,99.3,2,10,3.95,2,1,1,0,0
6.71,76.8,3,10,2.83,3,1,3,3,1
5.16,75.1,1,7,2.94,2,0,4,4,1
6.07,52.8,1,1,3.66,1,1,2,4,1
8.92,67.3,0,2,3.03,0,1,2,1,0
7.69,74.8,4,2,1.61,2,1,1,4,0
5.82,69.8,2,7,2.09,5,0,4,3,1
5.38,94.6,0,8,3.14,6,0,3,4,1
6.85,76.0,0,11,4.12,4,0,3,0,1
5.1,93.5,0,4,4.52,4,1,0,3,1
5.86,78.7,1,11,3.68,4,0,0,0,0
7.24,78.4,4,9,3.19,3,1,0,1,0
8.42,76.9,2,1,3.65,2,1,5,0,1
7.65,78.0,0,5,2.23,4,1,5,2,1
4.0,98.6,3,4,2.75,5,0,0,4,1
7.23,50.2,0,12,2.08,2,0,0,3,1
6.9,54.0,3,12,1.65,3,1,4,1,1
7.38,71.5,0,11,3.23,3,1,3,2,1
9.06,78.2,1,7,3.09,1,2,1,1,1
4.0,86.3,4,7,3.59,2,0,3,3,0
5.97,83.7,0,5,3.45,0,2,1,1,0
7.63,73.4,2,11,3.14,3,0,1,0,0
4.59,90.2,5,2,3.46,4,0,2,2,0
8.87,90.4,0,4,2.86,4,0,5,4,1
7.32,80.2,0,2,3.31,6,1,4,2,1
7.99,89.6,2,7,2.17,0,0,1,1,0
6.0,81.3,0,4,3.27,5,0,3,0,1
7.94,71.3,0,3,3.57,5,1,5,4,1
8.3,86.4,1,5,2.23,3,1,5,3,1
7.13,79.3,2,12,2.95,1,0,4,0,0
7.13,78.0,0,8,2.28,2,0,0,0,0
7.18,95.7,0,11,2.37,4,1,1,0,0
5.59,48.6,3,12,1.78,6,0,1,1,0
6.59,61.0,1,12,4.17,4,0,0,4,0
6.59,63.8,3,5,3.97,3,1,1,0,1
7.34,73.6,1,12,3.44,4,0,1,4,1
8.2,74.9,4,12,4.87,0,1,3,0,0
5.32,59.9,2,13,2.71,4,0,2,3,0
6.62,66.2,0,5,5.0,0,0,2,1,1
8.87,67.7,3,3,2.67,6,0,1,4,1
5.76,100.0,1,8,3.16,6,0,0,2,0
5.65,99.6,0,13,2.5,3,0,5,1,1
7.08,73.1,0,12,3.27,2,0,3,1,1
7.98,73.6,2,8,3.74,5,2,1,4,1
6.82,64.2,0,2,2.79,4,2,4,2,1
8.66,55.1,0,6,4.68,4,0,4,1,1
8.0,76.6,0,10,3.14,3,1,5,3,0
7.98,66.0,1,8,3.17,1,1,0,2,0
7.58,77.0,1,5,1.99,0,2,3,3,0
10.0,58.8,1,5,3.32,1,0,5,2,1
6.51,68.9,0,1,2.77,3,0,4,0,1
4.0,79.8,0,4,2.29,2,0,1,0,1
9.05,82.4,1,9,2.12,3,0,5,0,1
6.16,83.0,0,4,5.0,1,0,2,2,1
6.95,62.2,2,13,2.64,6,2,2,2,1
8.63,88.3,0,2,1.44,2,2,3,3,0
4.56,68.4,0,8,2.2,5,0,4,4,1
5.05,85.6,0,7,2.85,2,1,0,0,1
4.56,77.9,1,11,3.45,3,0,3,4,1
5.69,61.5,0,12,3.45,4,1,4,4,1
7.42,74.2,3,8,3.58,1,1,3,3,1
7.53,82.4,0,9,2.26,1,0,1,2,1
7.19,85.4,1,10,3.24,2,2,0,0,1
4.82,76.3,1,7,2.02,5,3,3,0,1
4.0,96.4,0,3,2.28,1,1,4,0,0
6.88,90.1,1,6,1.98,3,1,3,3,1
6.14,74.9,0,4,1.71,4,1,5,2,1
7.44,87.0,1,7,3.96,4,0,3,0,1
7.78,100.0,0,8,3.59,3,0,3,0,1
6.99,100.0,3,3,3.88,0,1,0,0,0
7.86,63.3,4,4,2.94,0,0,3,3,0
7.12,66.9,0,11,3.68,3,2,1,3,1
7.54,95.8,1,5,1.14,5,0,4,3,1
5.81,65.3,2,3,3.76,0,0,0,0,0
6.55,62.1,0,10,3.08,6,0,5,0,1
7.08,72.2,3,10,3.53,4,3,1,0,1
7.95,83.0,2,11,3.28,0,0,2,3,1
6.25,76.8,4,10,1.91,2,0,0,3,0
7.53,70.2,5,13,1.4,1,0,1,1,0
6.43,69.9,0,8,2.19,6,1,5,0,1
6.64,69.5,1,4,3.46,3,3,1,1,1
7.96,67.4,1,12,3.59,2,0,3,4,1
4.01,100.0,0,4,1.53,1,2,5,0,0
4.98,81.6,0,4,1.92,3,0,3,3,1
4.72,88.6,5,11,2.18,0,1,0,2,1
4.0,72.1,0,12,2.54,1,0,2,0,1
5.85,75.8,1,5,1.54,1,1,2,4,0
7.85,69.4,3,10,1.48,4,1,1,2,1
6.4,46.2,0,12,2.08,4,1,1,3,1
7.08,61.5,1,11,2.99,3,0,3,0,1
8.32,56.3,5,1,1.72,0,2,2,1,1
8.66,51.0,1,9,2.78,2,3,1,3,1
6.7,63.7,0,3,3.96,5,1,2,3,1
8.7,93.9,0,12,1.6,1,1,2,0,1
6.93,77.5,4,1,2.69,1,1,1,3,0
5.63,93.5,0,13,3.92,0,0,2,4,1
5.97,82.9,1,3,2.48,5,2,5,3,1
4.73,87.4,0,6,2.33,0,0,3,1,0
5.56,67.2,1,4,4.06,4,1,3,4,1
6.3,84.3,4,11,2.59,6,0,5,3,1
7.93,86.7,1,6,4.0,4,0,3,0,1
9.21,71.1,5,10,3.33,2,1,1,0,1
4.86,84.7,0,1,2.56,1,1,2,4,1
7.35,84.8,1,6,3.38,0,2,2,1,1
5.34,71.4,3,12,3.22,1,3,2,0,1
7.46,64.5,1,13,3.92,6,0,0,2,1
6.62,63.8,0,3,2.35,1,0,0,2,0
4.24,79.0,3,6,2.94,0,0,2,2,1
8.1,81.9,0,6,2.84,5,1,5,3,1
5.95,68.5,1,8,3.6,2,1,4,4,1
6.05,78.3,5,7,1.87,2,2,5,3,1
5.3,84.8,0,2,3.92,5,1,1,0,1
5.88,85.4,0,10,3.37,3,0,2,0,1
7.4,96.6,0,3,1.58,6,1,3,0,1
6.54,93.3,0,5,4.11,3,1,2,1,1
7.26,66.0,0,11,5.0,4,1,2,1,1
7.31,98.2,2,9,3.9,6,0,2,4,1
8.65,71.6,0,6,4.33,3,0,0,1,0
6.32,90.5,2,12,2.99,1,0,5,0,0
4.73,78.8,0,6,1.24,6,0,5,4,1
8.29,73.1,0,8,1.06,1,1,0,1,1
6.34,56.3,0,4,3.16,0,0,2,4,0
8.36,75.9,2,3,2.31,4,1,3,3,1
7.34,59.3,1,7,1.99,6,1,4,4,1
6.62,89.6,0,8,2.84,0,2,5,4,1
7.29,96.2,3,11,3.52,5,0,2,0,0
9.53,68.4,1,6,1.45,5,0,4,3,1
9.71,81.6,0,12,2.45,6,0,5,2,1
6.9,69.3,4,8,4.41,2,0,4,3,1
7.02,70.5,0,1,1.82,1,0,1,3,1
8.31,87.3,0,10,3.77,3,1,4,2,1
5.62,77.5,1,8,2.42,0,0,2,1,1
7.27,98.9,0,6,3.45,5,0,0,4,1
6.76,72.2,0,7,4.0,4,0,4,3,1
7.24,90.0,2,4,3.64,3,1,5,4,1
5.63,79.2,0,8,3.81,3,2,2,1,1
4.57,87.5,3,8,1.75,4,1,2,4,1
4.0,72.6,4,6,4.01,3,1,2,1,1
5.24,77.4,1,4,2.05,5,1,0,2,1
6.16,76.6,2,6,3.16,6,1,5,4,1
6.39,68.0,2,7,3.16,6,0,0,1,1
9.51,85.9,5,7,3.39,4,1,3,1,1
8.35,85.8,0,5,3.24,5,1,0,4,1
5.45,85.1,0,8,2.06,2,0,4,4,1
7.29,96.4,1,3,1.55,0,1,5,1,0
6.23,95.4,1,7,3.77,2,1,3,1,1
6.4,73.5,0,2,3.09,6,1,3,1,1
7.06,82.5,1,7,4.05,0,0,4,0,1
7.67,70.5,0,11,2.86,3,1,5,2,0
6.33,78.3,4,11,1.49,1,2,5,1,1
8.29,70.8,0,10,3.87,3,0,1,4,1
5.2,97.4,0,10,2.53,1,0,3,0,1
6.81,82.4,0,1,3.24,5,0,4,3,1
10.0,75.4,0,5,2.25,5,0,1,2,1
7.11,92.3,0,9,4.54,5,3,4,3,1
8.81,52.0,0,11,2.02,4,1,0,0,1
6.93,53.8,0,8,2.56,1,0,5,2,1
7.61,87.6,0,12,3.01,3,0,3,3,1
6.72,78.7,0,4,1.81,0,3,4,1,1
6.56,81.0,0,2,3.23,2,0,4,4,1
5.71,62.1,0,2,4.51,3,1,1,2,0
7.4,77.7,0,8,2.41,4,0,2,1,1
5.61,100.0,0,9,3.3,0,0,5,0,0
7.73,87.9,0,4,1.0,5,1,0,0,1
8.32,80.0,0,11,2.86,3,0,4,2,1
7.31,72.7,2,10,2.59,6,1,1,2,1
6.4,73.3,5,5,2.08,3,0,3,4,1
7.44,52.4,4,4,3.98,3,1,3,3,1
6.37,81.1,1,10,2.57,4,1,4,0,1
8.11,88.1,1,9,2.72,5,1,5,2,1
4.24,59.1,0,3,2.52,1,0,2,2,1
6.33,70.1,2,4,1.0,3,1,1,0,0
4.01,64.1,2,7,1.77,0,3,2,3,1
4.71,66.4,3,7,3.86,3,0,3,2,1
8.71,78.6,3,3,1.0,5,0,4,0,1
8.05,53.0,1,13,2.13,6,2,4,2,1
5.79,85.4,2,6,2.5,1,0,2,3,0
4.7,87.0,3,5,4.64,2,1,5,1,1
4.0,75.0,0,1,3.67,3,1,0,1,1
6.04,48.2,4,12,2.34,2,0,0,0,0
10.0,66.0,0,4,4.2,1,1,0,1,1
7.41,92.8,5,13,2.16,2,1,5,4,1
6.02,44.7,2,7,3.91,2,0,1,3,0
7.45,73.8,0,12,1.54,3,2,3,0,1
4.61,63.8,2,3,3.97,6,0,4,2,1
6.38,87.7,0,3,2.49,3,0,4,0,1
6.94,69.9,2,11,1.87,2,2,5,2,1
6.68,82.8,3,11,2.68,4,0,0,0,0
7.91,84.8,1,8,3.18,5,2,2,3,1
7.28,100.0,3,1,2.41,3,0,3,2,1
7.74,75.6,0,13,3.45,3,1,4,3,1
5.84,82.5,0,6,2.32,1,0,3,2,1
8.06,60.2,1,13,3.52,6,1,3,1,1
9.08,92.3,0,12,3.34,6,1,1,1,1
5.44,68.9,1,12,2.84,1,2,0,1,0
5.56,71.3,0,9,2.46,2,3,2,2,1
8.67,77.7,0,9,3.05,1,1,1,2,1
6.53,59.2,1,7,3.45,6,1,3,3,1
8.77,80.7,3,1,4.96,0,1,4,0,0
6.18,89.6,0,6,3.84,1,2,3,1,1
8.84,81.5,3,10,3.88,2,1,3,4,1
6.98,58.9,1,11,5.0,3,2,0,4,1
7.16,76.5,0,8,3.42,1,0,3,4,0
8.99,86.9,1,10,3.38,3,1,2,1,1
6.29,55.5,1,1,3.6,5,1,0,0,1
5.48,65.1,0,7,1.89,5,0,1,0,1
6.17,88.5,1,7,2.46,0,0,4,0,1
7.43,81.2,0,12,2.39,0,3,5,4,1
